date debut;date fin;numéro adhérent;contrat;formule;civilité souscripteur;nom;prénom souscripteur;adresse;code postal;ville;adresse mail;téléphone 5;téléphone 2;date souscription;date effet;statut;date dernier statut;périodicité;date début période;date fin période;date dernier avenant;prime ttc;prime cie;taxe;commission
01/02/2019;28/02/2019;A563204;TROPJA1705597;Confort;Monsieur;Nom930;Desire semogninoun;chemin des carrières;83000;Rosny Sous Bois;mail930@yopmail.com;06 15 05 38 18;05 56 88 77 81;06/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541658;TROPJA1703234;Confort;Madame;Nom931;Maria;LES BAUCHES 6;33770;Dole;mail931@yopmail.com;06 73 36 06 05;;06/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541949;TROPJA1703248;Essentielle;Monsieur;Nom932;Gabriel;57 rue DE LA BOULE D OR;87100;Vandoeuvre Les Nancy;;01 73 70 31 16;;06/10/2017;01/01/2018;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/01/2018;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A496508;TROPJA1703257;Essentielle;Madame;Nom933;Corinne;79 route du Rhin;63270;Grenoble;mail933@yopmail.com;06 58 88 15 38;06 58 88 71 88;06/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/01/2019;31/01/2019;01/11/2017;-7,94;-3,5;-0,94;-3,5
01/02/2019;28/02/2019;A275443;TROPJA1703247;Essentielle;Monsieur;Nom934;Nasser;770 chemin neokapoenia;43350;Ambenay;;05 65 35 11 83;06 72 11 51 00;06/10/2017;01/04/2018;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/04/2018;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541955;TROPJA1703249;Essentielle;Madame;Nom935;Jeannette;39 avenue  LES TRAMBLAYS;31470;St Molf;mail935@yopmail.com;06 58 23 23 35;;06/10/2017;01/11/2017;CONTRAT_ATTENTE_PIECES;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541993;TROPJA1703251;Essentielle;Madame;Nom936;Marie-therese;5 rue des chartres;93130;Rouen;;07 85 21 61 10;;06/10/2017;01/01/2018;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/01/2018;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541400;TROPJA1703223;Essentielle;Monsieur;Nom937;Anthony;1 rue victor hugo;31620;Amiens;mail937@yopmail.com;06 35 35 36 15;;06/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542206;TROPJA1703264;Essentielle;Monsieur;Nom938;Bruno;6 rue Eugene clamaran;93110;Is Sur Tille;;07 68 12 80 31;07 68 72 80 87;06/10/2017;01/11/2017;CONTRAT;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542444;TROPJA1703294;Confort;Madame;Nom939;Colette;10 rue Edouard Delanoë;39100;Aussillon;mail939@yopmail.com;07 58 36 87 57;07 58 86 87 57;06/10/2017;01/11/2017;CONTRAT;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541555;TROPJA1703227;Essentielle;Monsieur;Nom940;Sanggu;62 RUE GENERAL FERRIE;54500;Ploneour Lanvern;mail940@yopmail.com;07 70 07 00 80;;09/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544218;TROPJA1703413;Essentielle;Madame;Nom941;Marlene;118 boulevard Ernest Dalby,Appart 23,Etage3.;38100;Meaux;mail941@yopmail.com;03 86 13 28 88;06 71 10 86 87;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542152;TROPJA1703258;Essentielle;Madame;Nom942;Patricia;20 place de l eglise;27250;Mantes La Ville;mail942@yopmail.com;06 73 55 35 27;;09/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A541842;TROPJA1703241;Essentielle;Madame;Nom943;Monique;6 rue d'es coutey 2eme etg n°49;44350;Talence;mail943@yopmail.com;06 12 30 35 58;06 72 80 85 58;09/10/2017;01/11/2017;CONTRAT;04/01/2019;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542418;TROPJA1703290;Essentielle;Madame;Nom944;Evelyne;LE VILLAGE;76000;Rupt Aux Nonains;mail944@yopmail.com;06 56 86 28 33;06 28 88 58 27;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542251;TROPJA1703269;Essentielle;Monsieur;Nom945;Etienne;6 rue DE LA BUSSERINE;80000;Perigny;mail945@yopmail.com;06 35 53 63 13;08 80 85 85 81;09/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541870;TROPJA1703244;Essentielle;Madame;Nom946;Fadila;69 BIS  rue  DES DUNKERQUE  batiment B 01;21120;Metz;mail946@yopmail.com;06 80 35 53 55;;09/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A529192;TROPJA1704286;Essentielle;Madame;Nom947;Hassana;32 rue du mesnil batiment les hortensias;81200;Mulhouse;mail947@yopmail.com;63 06 33 56 1;02 88 87 61 50;09/10/2017;01/11/2017;CONTRAT_ATTENTE_PIECES;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542222;TROPJA1703266;Essentielle;Madame;Nom948;Brigitte;900 chemin FRAIZAL-SUEJOL;29720;Ivry Sur Seine;mail948@yopmail.com;03 51 17 13 37;06 58 78 88 78;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541944;TROPJA1703246;Essentielle;Madame;Nom949;Eliane;12 impasse mayen;77100;Juvisy Sur Orge;mail949@yopmail.com;07 75 78 83 76;07 71 68 08 81;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542401;TROPJA1703289;Essentielle;Madame;Nom950;Dominique;47 rue Raymond Pointcarré;78711;Reze;mail950@yopmail.com;06 23 28 53 55;06 28 28 58 55;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542447;TROPJA1703295;Essentielle;Monsieur;Nom951;Alexandre;9 residence marcel paul;33400;Brunoy;;06 01 56 62 51;06 07 16 62 57;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542437;TROPJA1703292;Essentielle;Monsieur;Nom952;Jacques;12 route DE BORDEAUX;55170;Lamalou Les Bains;;06 83 36 72 10;;09/10/2017;01/11/2017;CONTRAT;09/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542344;TROPJA1703282;Essentielle;Madame;Nom953;Danielle;10 rue lavoisie;17180;Metz;mail953@yopmail.com;06 15 65 53 03;;09/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/01/2019;31/01/2019;01/11/2017;-7,94;-3,5;-0,94;-3,5
01/02/2019;28/02/2019;A542347;TROPJA1703284;Essentielle;Monsieur;Nom954;Jean-gilles;22 place Du village;57000;St Laurent Du Var;mail954@yopmail.com;06 13 58 35 83;;09/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544051;TROPJA1703395;Essentielle;Monsieur;Nom955;Stephane;46 rue GAMBETTA;68200;Poitiers;mail955@yopmail.com;06 11 35 55 23;06 77 81 15 28;09/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/01/2019;31/01/2019;01/11/2017;-7,94;-3,5;-0,94;-3,5
01/02/2019;28/02/2019;A542754;TROPJA1703315;Confort;Madame;Nom956;Suzanne;43 rue jean pierre timbaud 2ème étage Apprt 221;94200;Buc;mail956@yopmail.com;06 33 78 68 76;06 88 78 70 76;10/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/01/2019;31/01/2019;01/11/2017;-7,94;-3,5;-0,94;-3,5
01/02/2019;28/02/2019;A542494;TROPJA1703298;Essentielle;Monsieur;Nom957;Ameur;4 allee Langenfeld;91260;Pont Sur Yonne;mail957@yopmail.com;07 82 35 77 63;;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A542363;TROPJA1703286;Essentielle;Madame;Nom958;Josiane;40 chemin sainte colombe  batiment  bat A appt 3 les terrasses du soleil;44400;Palaiseau;mail958@yopmail.com;06 76 20 21 53;01 68 78 52 56;10/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/01/2019;31/01/2019;01/11/2017;-7,94;-3,5;-0,94;-3,5
01/02/2019;28/02/2019;A542785;TROPJA1703317;Essentielle;Monsieur;Nom959;Robert;2 rue  LA FONTAINE;91800;Le Ribay;;06 77 62 05 18;;10/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542518;TROPJA1703301;Essentielle;Monsieur;Nom960;Désiré;ieu-dit Montgiraud;34240;Pont Aven;mail960@yopmail.com;06 56 80 15 26;;10/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542527;TROPJA1703302;Essentielle;Monsieur;Nom961;Roger;1 rue de la mediterranee  batiment 326854794;57050;Caffiers;mail961@yopmail.com;06 50 73 10 37;07 88 07 26 81;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542954;TROPJA1703334;Essentielle;Monsieur;Nom962;Xavier;12 avenue du general canzio;6700;Marles Les Mines;mail962@yopmail.com;06 53 33 33 83;05 78 58 77 08;10/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542545;TROPJA1703303;Essentielle;Madame;Nom963;Yvonne;6 rue pierre lescot;86000;Mons En Baroeul;mail963@yopmail.com;06 03 55 31 37;;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543135;TROPJA1703352;Essentielle;Madame;Nom964;Aurore;5 rue  DE COUPRIE;78530;Avrille;mail964@yopmail.com;06 65 58 21 52;;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542556;TROPJA1703304;Essentielle;Madame;Nom965;Marie claude;155 RUE GABRIEL CHARLES DAMIDAUX;89140;Montpellier;mail965@yopmail.com;03 52 53 15 31;07 88 61 88 28;10/10/2017;01/11/2017;CONTRAT;30/03/2018;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542824;TROPJA1703324;Essentielle;Madame;Nom966;Francoise;16 RUE DENIS PAPIN;91120;Vallauris;mail966@yopmail.com;02 13 00 05 38;07 88 18 68 57;10/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542896;TROPJA1703325;Essentielle;Madame;Nom967;Josette;6 rue DEL' EGLISE ANGOVILLE AU PLAIN;53640;Le Havre;;02 38 33 23 85;06 78 88 07 78;10/10/2017;01/07/2018;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/07/2018;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542974;TROPJA1703336;Essentielle;Monsieur;Nom968;Jean-paul;44 cite lafon;29930;Flixecourt;mail968@yopmail.com;06 02 65 56 22;08 87 55 11 06;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A677286;TROPJA1703326;Essentielle;Monsieur;Nom969;Joel;42 rue hoche;62132;St Clar;mail969@yopmail.com;06 66 85 82 15;08 62 88 86 88;10/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A542585;TROPJA1703309;Essentielle;Monsieur;Nom970;Naasson;2 allee Emmanuel Charbier;62540;Douchy Les Mines;mail970@yopmail.com;06 65 55 01 25;08 81 88 82 17;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A543101;TROPJA1703349;Essentielle;Madame;Nom971;Venite;274 boulevard DESAIX  batiment 2;59370;Fayl Billot;mail971@yopmail.com;06 38 11 01 05;;11/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543056;TROPJA1703340;Essentielle;Madame;Nom972;Genevieve;55 ROUTE DE LA MOLE  33770 salles;49240;Sermerieu;mail972@yopmail.com;06 15 35 68 65;;11/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543099;TROPJA1703348;Essentielle;Madame;Nom973;Marie suzanne;15  rue edouard michaud;34090;Sassenage;mail973@yopmail.com;01 33 63 35 73;;11/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543069;TROPJA1703341;Essentielle;Monsieur;Nom974;Daniel;0 LE BOURG;6220;Montlouis Sur Loire;mail974@yopmail.com;06 65 23 71 32;06 61 28 77 82;11/10/2017;01/11/2017;CONTRAT;08/12/2018;Mensuelle;01/02/2019;28/02/2019;01/11/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A543131;TROPJA1703351;Essentielle;Monsieur;Nom975;Alain;15 lieu_dit CHAMPVERT;76610;Montreuil Bellay;mail975@yopmail.com;06 85 35 35 55;08 22 51 65 78;11/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543085;TROPJA1703345;Essentielle;Monsieur;Nom976;Kevin;1 rue DE SAINT-JUDE;80420;Ste Savine;mail976@yopmail.com;07 55 62 75 81;07 51 62 75 87;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543084;TROPJA1703344;Essentielle;Monsieur;Nom977;Dominique;1 rue  r Rene Clement;32380;Durtal;mail977@yopmail.com;07 75 08 38 73;;11/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543145;TROPJA1703355;Essentielle;Madame;Nom978;Christiane;540 chemin  BUGUET;59282;Marly;mail978@yopmail.com;06 85 87 55 53;;11/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543151;TROPJA1703358;Essentielle;Madame;Nom979;Ginette;9 rue DES AGNETTES  appt 96;52500;Villefranche Sur Saone;mail979@yopmail.com;06 17 83 37 88;07 77 82 70 05;11/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A550577;TROPJA1704041;Essentielle;Madame;Nom980;Karima;9 rue DES AGNETTES  appt 96;38510;Viriat;mail980@yopmail.com;06 50 50 62 23;06 50 10 62 28;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A550577;TROPJA1704041;Essentielle;Madame;Nom981;Karima;9 rue DES AGNETTES  appt 96;38360;Deauville;mail981@yopmail.com;06 07 65 27 12;08 87 88 86 70;11/10/2017;01/11/2017;CONTRAT;13/10/2018;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A550577;TROPJA1704041;Essentielle;Madame;Nom982;Karima;5 rue Languernais;37270;St Apollinaire;;07 83 77 55 63;;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543870;TROPJA1703374;Confort;Monsieur;Nom983;Cleisiy;208 rue beauvoisine;49260;Eu;mail983@yopmail.com;06 66 00 11 33;06 66 00 77 88;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544008;TROPJA1703390;Essentielle;Monsieur;Nom984;Clovis;3  rue daguerre;10300;Romans Sur Isere;mail984@yopmail.com;06 22 25 37 03;;11/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543161;TROPJA1703360;Essentielle;Madame;Nom985;Michele;26 rue l'ile de france;49430;Thonon Les Bains;mail985@yopmail.com;06 15 55 00 63;08 52 88 71 10;11/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543891;TROPJA1703378;Essentielle;Monsieur;Nom986;Mario;12 av Carnot,;59770;Le Vieux Marche;mail986@yopmail.com;06 15 23 56 27;06 71 28 16 27;11/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544004;TROPJA1703388;Essentielle;Madame;Nom987;Bernadette;14 rue jean sebastien bac;69400;Conde Sur Noireau;mail987@yopmail.com;01 71 25 30 73;06 58 27 62 57;11/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543892;TROPJA1703379;Essentielle;Monsieur;Nom988;Bernard;28 rue Sous préfecture;1440;St Ouen Cedex;mail988@yopmail.com;06 03 76 27 67;;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543174;TROPJA1703361;Essentielle;Madame;Nom989;Jessica;11 avenue DU CHARMOIS;14800;Cachan;mail989@yopmail.com;06 80 01 36 33;08 58 77 76 52;12/10/2017;01/11/2017;CONTRAT;18/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543183;TROPJA1703363;Essentielle;Monsieur;Nom990;Channel;7 rue henri lautredou;21850;Noisy Le Sec;mail990@yopmail.com;06 56 65 38 12;06 16 61 88 72;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543982;TROPJA1703385;Essentielle;Monsieur;Nom991;Roger;4 square De la Brie;76260;Nantes;mail991@yopmail.com;;06 56 80 71 78;12/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A522484;TROPJA1703394;Essentielle;Madame;Nom992;Rabia;39 rue des meuniers;26100;Moulins;mail992@yopmail.com;06 35 11 23 15;07 50 81 18 86;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543695;TROPJA1703365;Essentielle;Madame;Nom993;Beatrice;2 rue francois rablais  residence chateau raba tour D apparement 844;74200;Moulins;mail993@yopmail.com;06 50 30 08 37;06 10 80 08 87;12/10/2017;01/11/2017;CONTRAT;12/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543733;TROPJA1703366;Essentielle;Madame;Nom994;Fatima;2 rue louis best;22420;Moulins;mail994@yopmail.com;07 75 85 80 51;02 81 68 87 50;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544006;TROPJA1703389;Essentielle;Madame;Nom995;Shirley;5 rue des grives  domaine de castel appar F001;14110;Moulins;mail995@yopmail.com;06 60 87 13 18;;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A543963;TROPJA1703382;Essentielle;Monsieur;Nom996;Jean-eric;33 rue mangin;93401;Thonon Les Bains;;06 26 10 25 05;;12/10/2017;01/11/2017;CONTRAT;16/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544076;TROPJA1703399;Essentielle;Monsieur;Nom997;Jean marie;16 rue EMBROISE PARE;94230;Thoiry;mail997@yopmail.com;06 58 23 23 35;;12/10/2017;01/11/2017;CONTRAT;17/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A526319;TROPJA1703431;Essentielle;Madame;Nom998;Ceta;67 RUE CHARLES RIVIERE;93130;Vaulx En Velin;mail998@yopmail.com;06 21 56 57 88;;12/10/2017;01/11/2017;CONTRAT;31/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A544347;TROPJA1703416;Confort;Madame;Nom999;Myrma;10 rue du TARN;44300;Pageas;mail999@yopmail.com;06 58 11 73 02;06 18 77 78 02;12/10/2017;01/11/2017;MIS_EN_DEMEURE;27/02/2019;Mensuelle;01/10/2018;31/10/2018;01/11/2017;-7,94;-3,5;-0,94;-3,5
